Assemblage,t,method,order,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
trapdays,1,interpolated,0,0.414,0.382,0.446,0.078,0.068,0.088
trapdays,86,interpolated,0,10.345,9.653,11.037,0.881,0.867,0.894
trapdays,172,interpolated,0,13.193,12.328,14.059,0.946,0.937,0.956
trapdays,258,interpolated,0,14.669,13.688,15.649,0.968,0.961,0.974
trapdays,344,interpolated,0,15.633,14.566,16.7,0.977,0.972,0.982
trapdays,430,interpolated,0,16.348,15.224,17.473,0.982,0.979,0.986
trapdays,516,interpolated,0,16.914,15.755,18.073,0.986,0.983,0.989
trapdays,602,interpolated,0,17.375,16.199,18.551,0.988,0.985,0.991
trapdays,688,interpolated,0,17.753,16.572,18.934,0.99,0.987,0.993
trapdays,774,interpolated,0,18.062,16.883,19.242,0.992,0.989,0.995
trapdays,860,interpolated,0,18.312,17.138,19.486,0.994,0.991,0.997
trapdays,946,interpolated,0,18.511,17.343,19.679,0.995,0.992,0.998
trapdays,1032,interpolated,0,18.666,17.505,19.828,0.996,0.993,0.999
trapdays,1118,interpolated,0,18.785,17.628,19.942,0.997,0.994,1
trapdays,1204,interpolated,0,18.872,17.717,20.027,0.998,0.995,1
trapdays,1290,interpolated,0,18.933,17.776,20.089,0.999,0.996,1
trapdays,1376,interpolated,0,18.972,17.81,20.134,0.999,0.996,1
trapdays,1462,interpolated,0,18.993,17.821,20.166,1,0.997,1
trapdays,1548,interpolated,0,19,17.811,20.189,1,0.997,1
trapdays,1549,observed,0,19,17.811,20.189,1,0.997,1
trapdays,1550,extrapolated,0,19,17.811,20.189,1,0.997,1
trapdays,1631,extrapolated,0,19,17.789,20.211,1,0.997,1
trapdays,1712,extrapolated,0,19,17.762,20.238,1,0.997,1
trapdays,1794,extrapolated,0,19,17.731,20.269,1,0.998,1
trapdays,1875,extrapolated,0,19,17.698,20.302,1,0.998,1
trapdays,1957,extrapolated,0,19,17.663,20.337,1,0.998,1
trapdays,2038,extrapolated,0,19,17.628,20.372,1,0.998,1
trapdays,2120,extrapolated,0,19,17.591,20.409,1,0.998,1
trapdays,2201,extrapolated,0,19,17.555,20.445,1,0.998,1
trapdays,2283,extrapolated,0,19,17.519,20.481,1,0.998,1
trapdays,2364,extrapolated,0,19,17.483,20.517,1,0.998,1
trapdays,2446,extrapolated,0,19,17.447,20.553,1,0.998,1
trapdays,2527,extrapolated,0,19,17.413,20.587,1,0.998,1
trapdays,2609,extrapolated,0,19,17.378,20.622,1,0.998,1
trapdays,2690,extrapolated,0,19,17.345,20.655,1,0.999,1
trapdays,2772,extrapolated,0,19,17.313,20.687,1,0.999,1
trapdays,2853,extrapolated,0,19,17.281,20.719,1,0.999,1
trapdays,2935,extrapolated,0,19,17.25,20.75,1,0.999,1
trapdays,3016,extrapolated,0,19,17.221,20.779,1,0.999,1
trapdays,3098,extrapolated,0,19,17.192,20.808,1,0.999,1
trapdays,1,interpolated,1,0.414,0.381,0.448,0.078,0.068,0.088
trapdays,86,interpolated,1,6.589,6.043,7.135,0.881,0.865,0.896
trapdays,172,interpolated,1,7.388,6.756,8.02,0.946,0.937,0.956
trapdays,258,interpolated,1,7.71,7.043,8.376,0.968,0.961,0.974
trapdays,344,interpolated,1,7.884,7.199,8.57,0.977,0.972,0.982
trapdays,430,interpolated,1,7.995,7.297,8.692,0.982,0.979,0.986
trapdays,516,interpolated,1,8.071,7.365,8.777,0.986,0.983,0.989
trapdays,602,interpolated,1,8.127,7.416,8.839,0.988,0.985,0.991
trapdays,688,interpolated,1,8.17,7.454,8.887,0.99,0.988,0.993
trapdays,774,interpolated,1,8.204,7.484,8.924,0.992,0.989,0.995
trapdays,860,interpolated,1,8.231,7.509,8.954,0.994,0.991,0.997
trapdays,946,interpolated,1,8.254,7.529,8.978,0.995,0.992,0.998
trapdays,1032,interpolated,1,8.272,7.546,8.998,0.996,0.993,0.999
trapdays,1118,interpolated,1,8.288,7.56,9.015,0.997,0.994,1
trapdays,1204,interpolated,1,8.301,7.572,9.03,0.998,0.995,1
trapdays,1290,interpolated,1,8.312,7.583,9.042,0.999,0.996,1
trapdays,1376,interpolated,1,8.322,7.592,9.053,0.999,0.996,1
trapdays,1462,interpolated,1,8.331,7.6,9.062,1,0.997,1
trapdays,1548,interpolated,1,8.339,7.607,9.07,1,0.997,1
trapdays,1549,observed,1,8.339,7.607,9.07,1,0.997,1
trapdays,1550,extrapolated,1,8.339,7.607,9.071,1,0.997,1
trapdays,1631,extrapolated,1,8.345,7.613,9.078,1,0.997,1
trapdays,1712,extrapolated,1,8.351,7.619,9.084,1,0.997,1
trapdays,1794,extrapolated,1,8.357,7.624,9.091,1,0.998,1
trapdays,1875,extrapolated,1,8.363,7.629,9.097,1,0.998,1
trapdays,1957,extrapolated,1,8.368,7.634,9.102,1,0.998,1
trapdays,2038,extrapolated,1,8.373,7.639,9.108,1,0.998,1
trapdays,2120,extrapolated,1,8.378,7.643,9.113,1,0.998,1
trapdays,2201,extrapolated,1,8.382,7.647,9.118,1,0.998,1
trapdays,2283,extrapolated,1,8.387,7.651,9.123,1,0.998,1
trapdays,2364,extrapolated,1,8.391,7.655,9.127,1,0.998,1
trapdays,2446,extrapolated,1,8.395,7.658,9.131,1,0.998,1
trapdays,2527,extrapolated,1,8.398,7.662,9.135,1,0.998,1
trapdays,2609,extrapolated,1,8.402,7.665,9.139,1,0.999,1
trapdays,2690,extrapolated,1,8.405,7.668,9.142,1,0.999,1
trapdays,2772,extrapolated,1,8.408,7.671,9.146,1,0.999,1
trapdays,2853,extrapolated,1,8.411,7.673,9.149,1,0.999,1
trapdays,2935,extrapolated,1,8.414,7.676,9.152,1,0.999,1
trapdays,3016,extrapolated,1,8.416,7.678,9.154,1,0.999,1
trapdays,3098,extrapolated,1,8.419,7.68,9.157,1,0.999,1
trapdays,1,interpolated,2,0.414,0.383,0.445,0.078,0.068,0.088
trapdays,86,interpolated,2,4.67,4.248,5.091,0.881,0.866,0.895
trapdays,172,interpolated,2,4.97,4.493,5.446,0.946,0.937,0.956
trapdays,258,interpolated,2,5.078,4.58,5.576,0.968,0.961,0.974
trapdays,344,interpolated,2,5.135,4.625,5.644,0.977,0.972,0.982
trapdays,430,interpolated,2,5.169,4.653,5.685,0.982,0.979,0.986
trapdays,516,interpolated,2,5.192,4.671,5.713,0.986,0.983,0.989
trapdays,602,interpolated,2,5.209,4.684,5.733,0.988,0.985,0.991
trapdays,688,interpolated,2,5.221,4.694,5.748,0.99,0.988,0.993
trapdays,774,interpolated,2,5.231,4.702,5.76,0.992,0.989,0.995
trapdays,860,interpolated,2,5.239,4.708,5.77,0.994,0.991,0.996
trapdays,946,interpolated,2,5.245,4.713,5.778,0.995,0.992,0.998
trapdays,1032,interpolated,2,5.251,4.718,5.784,0.996,0.994,0.999
trapdays,1118,interpolated,2,5.255,4.721,5.79,0.997,0.995,1
trapdays,1204,interpolated,2,5.259,4.724,5.794,0.998,0.995,1
trapdays,1290,interpolated,2,5.263,4.727,5.798,0.999,0.996,1
trapdays,1376,interpolated,2,5.266,4.729,5.802,0.999,0.996,1
trapdays,1462,interpolated,2,5.268,4.732,5.805,1,0.997,1
trapdays,1548,interpolated,2,5.271,4.733,5.808,1,0.997,1
trapdays,1549,observed,2,5.271,4.733,5.808,1,0.997,1
trapdays,1550,extrapolated,2,5.271,4.733,5.808,1,0.997,1
trapdays,1631,extrapolated,2,5.273,4.735,5.811,1,0.997,1
trapdays,1712,extrapolated,2,5.275,4.736,5.813,1,0.997,1
trapdays,1794,extrapolated,2,5.276,4.738,5.815,1,0.997,1
trapdays,1875,extrapolated,2,5.278,4.739,5.817,1,0.998,1
trapdays,1957,extrapolated,2,5.279,4.74,5.818,1,0.998,1
trapdays,2038,extrapolated,2,5.28,4.741,5.82,1,0.998,1
trapdays,2120,extrapolated,2,5.282,4.742,5.821,1,0.998,1
trapdays,2201,extrapolated,2,5.283,4.743,5.823,1,0.998,1
trapdays,2283,extrapolated,2,5.284,4.744,5.824,1,0.998,1
trapdays,2364,extrapolated,2,5.285,4.744,5.825,1,0.998,1
trapdays,2446,extrapolated,2,5.285,4.745,5.826,1,0.998,1
trapdays,2527,extrapolated,2,5.286,4.746,5.827,1,0.998,1
trapdays,2609,extrapolated,2,5.287,4.746,5.828,1,0.998,1
trapdays,2690,extrapolated,2,5.288,4.747,5.829,1,0.998,1
trapdays,2772,extrapolated,2,5.288,4.747,5.83,1,0.998,1
trapdays,2853,extrapolated,2,5.289,4.748,5.83,1,0.999,1
trapdays,2935,extrapolated,2,5.29,4.748,5.831,1,0.999,1
trapdays,3016,extrapolated,2,5.29,4.749,5.832,1,0.999,1
trapdays,3098,extrapolated,2,5.291,4.749,5.832,1,0.999,1
