Station,B.sumichrasti,C.leuconotus,C.paca,D.novemcinctus,D.marsupialis,E.barbara,L.pardalis,L.wiedii,M.temama,N.narica,O.virginianus,P.onca,P.tajacu,P.concolor,P.yagouaroundi,S.angustifrons,T.mexicana,T.bairdii,U.cinereoargenteus
JS1,0,0,0,0,3,2,2,0,2,0,1,0,4,1,0,1,0,0,0
JS2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
JS3,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
JS4,0,0,0,0,0,0,2,1,2,0,5,0,0,0,0,0,0,0,0
JS5,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0
M1,0,1,1,6,0,0,0,0,1,0,0,0,17,4,1,0,0,0,0
M2,0,0,1,0,5,0,1,0,0,1,1,0,45,2,1,1,0,0,16
M3,0,0,0,1,0,0,0,0,0,3,1,0,13,0,0,0,0,0,2
M4,0,0,0,0,6,0,0,0,2,4,0,1,23,4,0,1,0,2,1
M5,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
NR1,0,0,17,1,0,10,0,21,0,3,0,0,3,0,1,0,1,0,0
NR2,0,0,2,0,2,1,0,0,0,13,0,0,1,0,0,0,1,0,0
PA1,0,0,9,0,0,0,1,0,0,0,3,0,10,0,0,0,0,0,0
PA2,0,0,4,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
PN1,0,0,1,2,6,0,0,2,2,10,5,1,3,0,0,0,0,0,5
PN2,0,0,1,0,0,0,2,0,0,15,1,0,23,0,0,0,0,0,0
PN3,0,0,0,2,11,0,1,0,0,38,0,0,14,0,1,0,0,0,0
PN4,0,3,0,1,13,0,1,0,0,52,13,0,30,1,0,0,0,0,3
PN5,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0
PN6,0,0,0,1,0,1,0,0,6,1,1,0,0,0,0,0,0,0,0
PN7,0,0,0,0,2,2,0,0,0,0,1,0,3,0,0,0,0,0,3